volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Abu,Japan,Shield,34.5,131.6,641,Asia
Acamarachi,Chile,Stratovolcano,-23.3,-67.62,6046,South America
Acatenango,Guatemala,Stratovolcano,14.5,-90.88,3976,North America
Acigöl-Nevsehir,Turkey,Caldera,38.57,34.52,1689,Asia
Adams,United States,Stratovolcano,46.21,-121.49,3742,North America
Adams Seamount,Pacific Ocean,Submarine,-25.37,-129.27,-39,Ocean
Adatara,Japan,Stratovolcano,37.64,140.29,1718,Asia
Adwa,Ethiopia,Stratovolcano,10.07,40.84,1733,Africa
Afderà,Ethiopia,Stratovolcano,13.08,40.85,1295,Africa
Agrigan,Mariana Islands,Stratovolcano,18.77,145.67,965,Asia
Agua,Guatemala,Stratovolcano,14.47,-90.74,3760,North America
Agua de Pau,Portugal,Stratovolcano,37.77,-25.47,947,Europe
Aguilera,Chile,Stratovolcano,-50.33,-73.75,2546,South America
Agung,Indonesia,Stratovolcano,-8.34,115.51,3142,Asia
Ahyi,Mariana Islands,Submarine,20.42,145.03,-137,Asia
Akademia Nauk,Russia,Caldera,53.98,159.45,1180,Europe
Akagi,Japan,Stratovolcano,36.56,139.2,1828,Asia
Akan,Japan,Caldera,43.38,144.01,1499,Asia
Akhtang,Russia,Shield,55.43,158.65,1956,Europe
Akita Komagatake,Japan,Stratovolcano,39.76,140.8,1637,Asia
Akita Yakeyama,Japan,Stratovolcano,39.96,140.76,1366,Asia
Akuseki-jima,Japan,Stratovolcano,29.46,129.6,584,Asia
Akutan,United States,Stratovolcano,54.13,-165.99,1303,North America
Alaid,Russia,Stratovolcano,50.86,155.55,2339,Europe
Alamagan,Mariana Islands,Stratovolcano,17.6,145.83,744,Asia
Alayta,Ethiopia,Shield,12.88,40.57,1501,Africa
Alban Hills,Italy,Caldera,41.73,12.7,949,Europe
Alcedo,Galápagos Islands,Shield,-0.43,-91.12,1130,South America
Ale Bagu,Ethiopia,Stratovolcano,13.52,40.63,1031,Africa
Alid,Eritrea,Stratovolcano,14.88,39.92,904,Africa
Ambrym,Vanuatu,"Caldera, Shield",-16.25,168.12,1334,Asia
Anatahan,Mariana Islands,Stratovolcano,16.35,145.67,790,Asia
Aneityum,Vanuatu,Stratovolcano,-20.2,169.78,852,Asia
Aniakchak,United States,Caldera,56.88,-158.17,1341,North America
Antisana,Ecuador,Stratovolcano,-0.48,-78.14,5753,South America
Aoba,Vanuatu,Shield,-15.4,167.83,1496,Asia
Ararat,Turkey,Stratovolcano,39.7,44.3,5165,Asia
Arenal,Costa Rica,Stratovolcano,10.46,-84.7,1670,North America
Arintica,Chile,Complex,-18.73,-69.05,5597,South America
Asacha,Russia,Stratovolcano,52.36,157.83,1910,Europe
Asama,Japan,Complex,36.4,138.53,2568,Asia
Ascensión,South Atlantic Ocean,Stratovolcano,-7.95,-14.37,858,Ocean
Askja,Iceland,Stratovolcano,65.03,-16.75,1516,Europe
Aso,Japan,Caldera,32.88,131.11,1592,Asia
Atitlán,Guatemala,Complex,14.58,-91.19,3535,North America
Atka,United States,Caldera,52.38,-174.15,1533,North America
Atsonupuri,Russia,Stratovolcano,44.81,147.14,1206,Europe
